City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Souillac,75,MU,1622489786,83,-20.5167,57.5167,73.78,8.59
Farah,0,AF,1622489923,11,32.5,62.5,85.26,8.1
Tasiilaq,99,GL,1622489766,80,65.6145,-37.6368,39.36,7.27
Dunedin,58,NZ,1622489926,75,-45.8742,170.5036,42.8,11.99
Opuwo,11,NA,1622489927,25,-18.0607,13.84,63.55,8.63
Mossamedes,6,AO,1622489929,69,-15.1961,12.1522,70.86,7.38
Suntar,61,RU,1622489930,67,62.1444,117.6319,53.15,4.7
Hamilton,1,US,1622489918,47,39.1834,-84.5333,75.63,1.99
Raudeberg,100,NO,1622489933,86,61.9875,5.1352,67.6,3.31
Sharkan,87,RU,1622489935,61,57.2989,53.8712,51.17,8.19
Carnarvon,0,AU,1622489937,94,-24.8667,113.6333,53.67,9.22
Ribeira Grande,75,PT,1622489938,63,38.5167,-28.7,64.8,8.05
Ostrowiec Świętokrzyski,11,PL,1622489940,84,50.9294,21.3853,52.75,2.8
Bethel,90,US,1622489941,71,41.3712,-73.414,64.92,3.0
Port Hardy,90,CA,1622489768,77,50.6996,-127.4199,60.98,4.61
Nekhayevskiy,100,RU,1622489944,77,50.4106,41.7561,55.8,10.49
Vaitape,43,PF,1622489946,66,-16.5167,-151.75,78.46,15.93
Pemberton,98,CA,1622489948,58,50.3164,-122.8027,73.09,3.62
Longyearbyen,75,SJ,1622489949,69,78.2186,15.6401,35.44,4.61
Vyazemskiy,3,RU,1622489951,90,47.5378,134.7525,47.25,4.43
Da’an,100,CN,1622489953,93,33.0558,106.2958,65.28,1.72
George Town,20,MY,1622489819,89,5.4112,100.3354,82.33,1.01
Tuktoyaktuk,90,CA,1622489955,80,69.4541,-133.0374,32.0,14.97
Barrow,90,US,1622489851,74,71.2906,-156.7887,30.22,13.8
Salamiyah,31,SY,1622489958,43,35.0113,37.0532,70.29,12.41
Warrnambool,81,AU,1622489960,55,-38.3833,142.4833,48.81,10.29
Saint-Augustin,100,CA,1622489962,89,51.226,-58.6502,45.79,6.2
Abu Dhabi,0,AE,1622489964,49,24.4667,54.3667,91.51,10.13
Aras,40,ES,1622489965,55,42.5617,-2.356,77.41,0.13
Puerto Escondido,20,MX,1622489967,62,15.85,-97.0667,92.23,5.75
Baykit,98,RU,1622489968,78,61.67,96.37,45.36,3.51
Bredasdorp,5,ZA,1622489970,88,-34.5322,20.0403,54.72,7.72
Pangody,22,RU,1622489972,53,65.85,74.4859,39.67,6.29
Joshīmath,78,IN,1622489973,81,30.5667,79.5667,62.85,1.95
Kapit,82,MY,1622489975,99,2.0167,112.9333,73.11,1.32
Santa Marta,30,CO,1622489977,72,11.2408,-74.199,84.92,15.99
Laas,11,IT,1622489979,76,46.6166,10.7002,67.08,4.54
Mut,0,TR,1622489980,50,36.6439,33.4389,70.0,2.57
Port Macquarie,72,AU,1622489982,90,-31.4333,152.9167,48.38,3.91
Dimona,0,IL,1622489983,64,31.0667,35.0333,69.85,11.07
Woodward,90,US,1622489985,94,36.4337,-99.3904,65.43,9.57
Cidreira,53,BR,1622489890,52,-30.1811,-50.2056,58.84,6.08
Saskylakh,100,RU,1622489876,69,71.9167,114.0833,47.16,8.66
Padang,35,ID,1622489989,86,-0.9492,100.3543,77.05,4.05
Kavieng,97,PG,1622489788,81,-2.5744,150.7967,79.43,4.99
Bereda,40,ES,1622489991,83,43.2686,-7.5406,67.75,0.49
Honiara,89,SB,1622489993,90,-9.4333,159.95,77.49,4.72
Mbulu,95,TZ,1622489995,87,-3.85,35.5333,56.43,11.05
Sinop Province,96,TR,1622489996,96,41.7711,34.8709,56.61,2.19
Amapá,78,BR,1622489998,95,1.0,-52.0,79.0,3.29
Kasempa,5,ZM,1622490000,39,-13.4584,25.8338,58.01,4.56
Alofi,72,NU,1622490008,100,-19.0595,-169.9187,73.29,5.75
Shingū,85,JP,1622490010,70,33.7333,135.9833,60.91,5.01
Clyde River,90,CA,1622490011,100,70.4692,-68.5914,26.83,3.44
Alta Floresta,40,BR,1622490013,38,-9.8756,-56.0861,93.02,4.61
Atar,99,MR,1622490015,32,20.5169,-13.0499,90.1,14.83
Saint-Joseph,12,RE,1622490017,67,-21.3667,55.6167,70.16,6.4
Houlton,90,US,1622490018,77,46.1262,-67.8403,54.01,6.91
Pudozh,91,RU,1622490020,63,61.8099,36.5345,42.96,1.39
Acapulco de Juárez,40,MX,1622489749,66,16.8634,-99.8901,89.42,11.21
Messina,20,IT,1622490022,81,38.1933,15.5497,68.2,1.01
Sept-Îles,90,CA,1622489896,88,50.2001,-66.3821,46.06,1.99
Stornoway,0,GB,1622490025,59,58.2093,-6.3865,60.76,8.05
Puerto Carreño,100,CO,1622490006,63,6.189,-67.4859,84.69,5.12
Jurm,17,AF,1622490028,64,36.8648,70.8342,61.77,3.4
Kaseda-shirakame,54,JP,1622490030,80,31.4167,130.3167,67.46,5.55
Itapirapuã,91,BR,1622490032,31,-15.8233,-50.6133,90.46,4.25
Saint-Pierre,0,RE,1622489803,72,-21.3393,55.4781,71.24,5.75
Cabatuan,100,PH,1622490035,87,10.8794,122.486,77.68,1.86
Magistral'nyy,100,RU,1622490036,96,56.1725,107.4458,39.74,5.14
Kieta,100,PG,1622490038,86,-6.2167,155.6333,78.87,6.85
Bilma,100,NE,1622490039,9,18.6853,12.9164,95.45,6.8
Buala,100,SB,1622489971,86,-8.145,159.5921,79.18,7.23
Nikolskoye,100,RU,1622489768,90,59.7035,30.7861,51.69,3.51
Grand Gaube,0,MU,1622490043,80,-20.0064,57.6608,73.8,3.0
Ambad,25,IN,1622490045,64,19.6167,75.8,79.61,8.19
Lorengau,99,PG,1622490046,84,-2.0226,147.2712,80.58,9.82
Hualmay,91,PE,1622490048,77,-11.0964,-77.6139,68.94,10.65
Melfi,18,IT,1622490050,58,40.9965,15.6514,56.1,4.03
Kremenchuk,100,UA,1622490051,75,49.0973,33.4197,51.75,11.72
Tiassalé,100,CI,1622490053,96,5.8983,-4.8283,74.82,5.35
Bulungu,84,CD,1622490054,48,-4.55,18.6,74.05,1.83
Batemans Bay,100,AU,1622490056,70,-35.7167,150.1833,44.15,3.4
Valentín Gómez Farías,0,MX,1622490057,7,28.2167,-106.5833,88.54,13.24
Nakatsugawa,4,JP,1622490059,85,35.4833,137.5,60.24,4.65
Atherton,99,GB,1622490060,79,53.5237,-2.4935,69.35,5.97
Sisimiut,85,GL,1622490062,81,66.9395,-53.6735,36.48,9.53
Saint-Philippe,25,RE,1622490036,78,-21.3585,55.7679,71.15,5.95
Kailua,8,US,1622489896,66,21.4022,-157.7394,85.06,5.99
Pangnirtung,75,CA,1622490066,100,66.1451,-65.7125,32.0,12.66
João Pinheiro,100,BR,1622490067,41,-17.7425,-46.1725,79.0,3.18
Gull Lake,100,CA,1622490069,33,50.1001,-108.4847,73.76,7.96
West Bay,20,KY,1622490070,71,19.3667,-81.4167,86.07,1.99
Lavrentiya,59,RU,1622490071,78,65.5833,-171.0,33.4,9.26
Somerset,75,US,1622490073,52,40.5668,-74.5496,74.12,5.01
Flinders,100,AU,1622490075,90,-34.5833,150.8552,48.2,1.01
Barra do Corda,3,BR,1622490035,66,-5.5,-45.25,82.85,4.85
Hirara,100,JP,1622490078,85,24.8,125.2833,79.74,11.86
Kahului,20,US,1622490079,64,20.8947,-156.47,86.97,3.44
Eyl,100,SO,1622490081,76,7.9803,49.8164,80.26,21.81
Port Elizabeth,32,ZA,1622490083,77,-33.918,25.5701,54.1,12.82
Lodja,100,CD,1622490084,49,-3.4833,23.4333,74.03,2.3
Zakamensk,75,RU,1622490086,97,50.3741,103.2863,23.88,1.63
Batticaloa,100,LK,1622490088,79,7.7102,81.6924,80.82,8.12
Najrān,2,SA,1622490090,14,17.4924,44.1277,88.45,5.28
Chadan,0,RU,1622490093,57,51.2833,91.5833,44.73,4.43
Itoman,75,JP,1622490094,83,26.1247,127.6694,77.02,11.5
Brigantine,75,US,1622490096,62,39.4101,-74.3646,74.16,6.49
Loei,99,TH,1622490097,88,17.4167,101.5,68.2,4.36
Kloulklubed,100,PW,1622490099,78,7.0419,134.2556,81.1,18.3
Tommot,23,RU,1622490100,87,58.9564,126.2925,49.8,3.29
Balikpapan,100,ID,1622490102,89,-1.2675,116.8289,76.71,4.61
Olds,21,CA,1622490104,37,51.7834,-114.102,73.9,3.44
Whitehorse,90,CA,1622490106,93,60.7161,-135.0538,48.09,13.0
Folldal,100,NO,1622490108,56,62.1325,9.9968,58.42,4.16
Ciudad Bolivar,91,VE,1622490109,59,8.1222,-63.5497,87.4,11.25
São Gabriel da Cachoeira,40,BR,1622490111,70,-0.1303,-67.0892,87.6,1.68
Xining,100,CN,1622490074,76,36.6167,101.7667,48.36,3.09
Sunnyvale,1,US,1622489851,41,37.3688,-122.0363,99.39,1.99
Saldanha,17,ZA,1622490115,80,-33.0117,17.9442,55.45,5.99
Beloha,64,MG,1622490117,73,-25.1667,45.05,64.74,7.49
Malé,75,MV,1622490118,70,4.1748,73.5089,84.15,20.71
Kenitra,74,MA,1622490120,77,34.261,-6.5802,66.96,6.06
Nerekhta,100,RU,1622490121,67,57.4588,40.5747,48.09,5.53
Johannesburg,63,ZA,1622490072,78,-26.2023,28.0436,51.15,1.01
Bucerías,75,MX,1622490124,61,20.75,-105.3333,84.18,9.93
Grindavik,75,IS,1622490125,76,63.8424,-22.4338,48.56,22.28
Zhangye,0,CN,1622490127,22,38.9342,100.4517,62.53,3.94
Khovd,9,MN,1622490129,40,48.0056,91.6419,48.74,1.12
Sur,17,OM,1622490130,33,22.5667,59.5289,94.68,17.4
Lagunillas,98,VE,1622490132,65,10.1301,-71.2595,87.06,7.14
Kungurtug,98,RU,1622490133,98,50.5994,97.5228,32.45,3.0
Nome,1,US,1622490135,41,64.5011,-165.4064,61.16,8.05
Ruidoso,72,US,1622490137,29,33.3317,-105.673,79.45,7.67
Labuhan,97,ID,1622490138,90,-6.8844,112.2051,76.75,6.29
Flin Flon,90,CA,1622490140,36,54.7682,-101.865,64.24,10.76
Kenora,40,CA,1622489953,46,49.8167,-94.4337,67.39,5.75
Moerai,46,PF,1622490142,54,-22.4333,-151.3333,74.73,4.92
Lakatoro,100,VU,1622490143,82,-16.0999,167.4164,74.95,8.68
Mount Isa,11,AU,1622490125,67,-20.7333,139.5,55.17,0.0
Port Hedland,40,AU,1622490146,78,-20.3167,118.5667,69.85,8.05
Coahuayana Viejo,100,MX,1622490147,44,18.7333,-103.6833,94.48,8.48
Billings Metropolitan Area,20,US,1622490097,22,45.7833,-108.5007,81.37,10.36
Pascagoula,1,US,1622490150,54,30.3658,-88.5561,89.56,7.23
Ballina,90,AU,1622490151,88,-28.8667,153.5667,55.36,2.3
Dārāb,0,IR,1622490153,10,28.7519,54.5444,85.93,7.52
Los Llanos de Aridane,40,ES,1622490104,84,28.6585,-17.9182,65.12,10.45
San Ramon,1,US,1622489859,32,37.7799,-121.978,98.08,3.0
São Filipe,10,CV,1622489876,80,14.8961,-24.4956,73.04,8.39
Andapa,38,MG,1622490158,98,-14.65,49.65,63.86,1.88
Xinyu,63,CN,1622490160,93,27.8043,114.9334,71.13,2.08
Leningradskiy,92,RU,1622490161,89,69.3833,178.4167,31.46,12.53
Ketchikan,90,US,1622490163,94,55.3422,-131.6461,57.18,13.8
Yining,67,CN,1622490165,93,29.0361,114.5636,72.18,1.23
Castro,100,BR,1622490166,97,-24.7911,-50.0119,57.34,2.51
Kushiro,55,JP,1622490168,82,42.975,144.3747,39.63,6.87
Kinshasa,62,CD,1622490169,61,-4.3246,15.3215,84.58,1.99
San Ignacio,75,BZ,1622490171,46,17.1561,-89.0714,95.14,8.95
Pouembout,37,NC,1622490173,66,-21.1333,164.9,65.37,6.93
Giohar,96,SO,1622490174,83,2.7809,45.5005,76.39,12.93
Varhaug,35,NO,1622490176,84,58.6147,5.6457,55.85,11.14
Kurush,0,RU,1622490178,47,41.2841,47.8345,40.89,3.76
Salalah,75,OM,1622490179,89,17.0151,54.0924,82.49,5.75
Port Blair,9,IN,1622490181,81,11.6667,92.75,81.9,4.5
Chrzanów,30,PL,1622490183,65,50.1355,19.402,55.04,4.52
Baracoa,31,CU,1622490184,71,20.3467,-74.4958,83.25,11.81
Ichhāwar,20,IN,1622490186,40,23.0167,77.0167,88.66,11.92
Kiomboi,56,TZ,1622490188,60,-4.2667,34.3667,64.81,5.5
Tupik,100,RU,1622490090,95,54.4253,119.9327,49.14,10.49
Alpena,90,US,1622490190,56,45.0617,-83.4327,73.54,3.0
Kodinsk,3,RU,1622490192,81,58.6881,99.1844,41.88,2.48
Abū Zabad,28,SD,1622490194,30,12.35,29.25,90.21,6.49
Cartagena,40,CO,1622489918,62,10.3997,-75.5144,89.22,11.5
Kolpashevo,48,RU,1622490196,77,58.3131,82.9089,62.78,9.93
Forsytheganj,15,BY,1622490198,84,52.6333,29.7333,44.96,4.09
Namatanai,100,PG,1622489901,84,-3.6667,152.4333,79.07,4.14
Vao,100,NC,1622490200,57,-22.6667,167.4833,70.18,17.2
Turukhansk,100,RU,1622490050,94,65.8167,87.9833,39.56,5.91
Stralsund,100,DE,1622490203,89,54.3091,13.0818,59.4,7.78
Wajir,90,KE,1622490159,48,1.7471,40.0573,83.55,22.5
Dondo,97,MZ,1622490206,87,-19.6094,34.7431,69.31,5.19
Hvide Sande,8,DK,1622490207,78,56.0045,8.1294,55.98,8.05
Qaqortoq,83,GL,1622490209,84,60.7167,-46.0333,46.9,8.16
Yulara,90,AU,1622490048,41,-25.2406,130.9889,58.84,0.0
Shillong,100,IN,1622490211,96,25.5689,91.8831,56.43,2.64
Osakarovka,94,KZ,1622490213,53,50.565,72.5692,68.45,9.46
Yurty,6,RU,1622490023,82,56.0498,97.6348,35.55,2.62
Constitución,83,CL,1622490216,82,-35.3333,-72.4167,62.2,6.8
Palestine,0,PS,1622490218,77,31.9216,35.2033,68.94,3.44
College,75,US,1622490219,46,64.8569,-147.8028,66.65,5.75
Bamiantong,100,CN,1622490221,91,44.9333,130.5333,52.34,3.78
Bara,90,NG,1622490222,55,10.3744,10.7288,83.93,18.95
Jaciara,46,BR,1622490224,30,-15.9653,-54.9683,89.28,1.79
Perbaungan,99,ID,1622490225,89,3.5679,98.956,77.9,3.44
Viedma,100,AR,1622490030,81,-40.8135,-62.9967,52.45,12.17
Cam Ranh,40,VN,1622490228,78,11.9214,109.1591,82.36,4.07
Olhão,0,PT,1622490230,82,37.0286,-7.8411,66.09,14.76
Husavik,45,IS,1622490131,51,66.0449,-17.3389,53.51,10.6
Bandarbeyla,100,SO,1622490186,84,9.4942,50.8122,79.59,27.09
Dangtu,11,CN,1622490234,74,31.5723,118.4928,68.05,6.89
Te Anau,37,NZ,1622490236,93,-45.4167,167.7167,37.04,0.83
Sabang,95,ID,1622490237,74,5.8933,95.3214,83.08,19.46
Aleksandrov Gay,63,RU,1622490239,85,50.147,48.5704,65.61,11.25
Torbay,75,CA,1622490240,36,47.6666,-52.7314,63.37,18.41
Faya,7,SA,1622490242,16,18.3851,42.4509,77.52,8.63
Zorritos,62,PE,1622490244,75,-3.6805,-80.6782,80.89,11.5
Terney,6,RU,1622490245,93,45.0503,136.6092,44.02,3.2
Port Keats,57,AU,1622490247,85,-14.25,129.55,69.28,4.0
Evensk,78,RU,1622490249,72,61.95,159.2333,44.37,4.45
Mount Gambier,100,AU,1622490052,61,-37.8333,140.7667,44.51,9.22
José Bonifácio,99,BR,1622490251,44,-21.0528,-49.6883,79.86,7.36
Claveria,94,PH,1622490252,85,18.6074,121.0832,79.38,4.83
Bakchar,95,RU,1622490254,87,57.0186,82.0711,59.99,6.85
Chapais,97,CA,1622490256,34,49.7834,-74.8492,69.58,9.15
Riyadh,0,SA,1622490023,12,24.6877,46.7219,98.65,4.61
Esso,100,RU,1622490258,88,55.9333,158.7,39.79,2.77
Villaviciosa,55,ES,1622490260,83,43.4813,-5.4357,72.1,2.93
Talnakh,100,RU,1622490261,96,69.4865,88.3972,31.69,6.38
Tomakomai,75,JP,1622490263,100,42.6369,141.6033,46.72,8.08
Abilene,90,US,1622490265,91,32.4487,-99.7331,64.89,12.66
Tūkrah,7,LY,1622490266,76,32.5341,20.5791,69.82,4.97
Quatre Cocos,4,MU,1622490268,72,-20.2078,57.7625,73.51,9.98
Roboré,75,BO,1622490270,64,-18.3333,-59.75,75.29,0.0
Wermelskirchen,3,DE,1622490271,76,51.15,7.2167,67.1,5.73
